Dataset,Language,Source Sentence,Translation,Reference Sentence
WMT,bg,"However, Tenuk and Kayel quickly realized they weren't alone. A second dark creature shot out from beneath them, and Tenuk only just managed to avoid a collision.",,"Въпреки това Тенук и Кайел бързо осъзнаха, че не са сами. Второ тъмно създание се изстреля зад тях и Тенук едва успя да избегне сблъсъка."
WMT,bg,"Tenuk hesitated, then stepped back, giving himself some space. With a low, slightly pained grunt, Tenuk's body stretched out, his fur replaced with scales and his arms replaced with wings. He quickly turned himself into a normal, light blue Thraki, but his eyes remained red.",,"Тенук се поколеба, след това пристъпи назад, освобождавайки си място. Със слаб, леко болезнен вик тялото на Тенук се издължи, козината му се смени с люспи, а ръцете му – с крила. Той бързо се превърна в нормално, светлосиньо Траки, но очите му останаха червени."
WMT,bg,"They wondered if she would actually let them enter, unlike the previous times they went to ask. I still have a bruise from the last time. Ivory chuckled from the memory. Kari had thrown a book at their shoulder, but when she saw who it was, she apologized immediately.",,"Чудеше се дали сега въобще ще го пусне вътре, но за разлика от предните пъти, този път той попита. Все още имам синина от последния път. Айвъри се засмя, като си спомни. Кари хвърли книга към рамото му, но щом видя кой е, се извини веднага."
WMT,bg,"The ESP didn't go online immediately, let's give it a few minutes.",,"ESP не се показва онлайн веднага, да изчакаме няколко минути."
WMT,bg,"Ignacio Sánchez Recarte, secretary general of the Comité Européen des Entreprises Vins trade association representing some 7,000 wine producers across Europe, is dismissive of the concerns of the beer makers. He told Euronews that a market dominated by multinational brewing conglomerates bears no comparison with one comprised almost entirely of small, domestic producers.",,"Игнасио Санчез Рекарте, генерален секретар на търговската асоциация Comité Européen des Entreprises Vins, представляваща около 7000 винопроизводители от цяла Европа, не приема притесненията на производителите на бира. Той заяви за Euronews, че пазарът, доминиран от мултинационални пивоварни конгломерати, не може по никакъв начин да се сравнява с пазар, съставен почти изцяло от малки местни производители."
WMT,bg,@user4 @user3 @user5 @user6,,@user4 @user3 @user5 @user6
WMT,bg,"Judging by the state of our hospitals, the SNP's talk of recovery plans and action plans is simply that - talk, and dangerous talk at that. We must not allow incompetent politicians to lull us into complicity in the demise of that great British institution, the National Health Service.",,"Съдейки по състоянието на болниците ни, SNP и обещанията им за план за възстановяване и план за действие са само това – обещания, при това опасни. Не трябва да позволяваме на некомпетентни политици да ни въвлекат в съучастие в срутването на тази велика британска институция, Националната здравна служба (NHS)."
WMT,bg,🚨 breaking news:,,🚨 горещи новини:
WMT,bg,This song is encapsulates my predicament…,,Тази песен обобщава моето положение...
WMT,bg,Both the old and the new Listing titles call it a 12V 10W panel.,,"И в новата, и в старата обява се казва панел 12 V 10 W."
WMT,bg,"Isn’t that funny? We have half the manpower left, and we can’t even refrain from hurting one another. I hastily sped up, Al’s was around the corner, so I would be fine inside. A glance behind me ensured that I was no longer being tailed as I stood in front of a bright glowing sign that read, “Alborn’s Pawnshop!” With slower steps, I entered once again–this place was more under the cover, as Alborn would often take in people who’d been mutated and snuck into Paltricus. Upon opening the door, the lights had been shut off, interestingly enough–there was no Al. No refugees. Nothing. Something wasn’t right here.",,"Не е ли забавно? Намаляхме наполовина и дори не можем да спрем да се нараняваме сами. Забързах се, Aл беше зад ъгъла и щях да съм на сигурно място вътре. Погледнах зад мен да се уверя, че не ме следят, докато стоях пред светла табела „Заложната къща на Алборн!“. С бавни крачки влязох вътре – това беше място под прикритие, защото Алборн приютяваше мутирали хора и ги вмъкваше в Палтрикус. След като отворих вратата, светлините бяха загасени, а по-интересното – Ал го нямаше. Нямаше бежанци. Нищо. Нещо не беше наред."
WMT,bg,These good quality stickers are about 50p each. They'll cost the same again to post. And way more in my own time to individually package and send them.,,"Тези стикери с добро качество струват по около 50 пенса на брой. Ще струват също толкова и когато се изпратят по пощата. И много повече от собственото ми време,за да ги опаковам и да ги изпратя."
WMT,bg,So the challenges in this are already showing themselves. I'm likely going to have a VERY difficult time getting a medical clearance due to the FAA's stance on certain medications.,,Предизвикателствата вече се показват. Вероятно ще ми бъде МНОГО трудно да получа медицинско одобрение поради позицията на FAA относно някои лекарства.
WMT,bg,And just under the wire basically someone actually beat Trimming the Herbs! Really impressive.,,И точно в последния момент някой наистина победи Trimming the Herbs! Наистина впечатляващо.
WMT,bg,Yea so I flew this today.,,"Да, аз летях с това днес."
WMT,bg,"So my dad can't give me rides to work. And for me, work is about 27 miles away. So there and back would be nearly a $100 a day with Uber. I haven't looked at Lyft. I could have, I guess, that makes sense. But I didn't have rental on my auto insurance, so that's my fault. So I guess I could have tried to do that and get that set up and tried to get a rental while I was down and out of a car. But even then, a rental wouldn't cover seven days. I'm going to sneeze, hold on. That sneeze sucked.",,"Баща ми не може да ме кара до работа. А моята работа е на около 27 мили, така че дотам и обратно би било почти 100 долара на ден с Uber. Не съм проверявал с Lyft. Бих могъл, вероятно си струва. Но нямам включен наем в моята автомобилна застраховка, това си е моя грешка. Предполагам, че можех да направя това и да се опитам да наема кола, докато съм без кола. Но дори и така, наемът не би покрил седем дни. Ще кихна, задръж така. Това кихане е гадно."
WMT,bg,Saturday Cont:,,Събота прод.:
WMT,bg,"Rosendale, a member of the hard-right Freedom Caucus, was one of the individuals who derailed the Wednesday votes. He views the top line number in Johnson's deal as being too high and as doing too little to cut the $34 trillion national debt.",,"Розендейл, член на крайнодесния партиен актив Freedom Caucus, беше един от онези членове, които попречиха на гласуванията в сряда. Той счита числото от сделката на Джонсън за твърде голямо и недостатъчно, за да намали националния дълг, възлизащ на 34 трилиона щатски долара."
WMT,bg,"South Wales four-piece The Now are proud to release their debut album, Too Hot To Handle, via True Music, and Callum joins me now. How are you doing, Callum? How's it going? Yeah, all good. Good, yourself? Yes, I'm very good. Thank you. It's a privilege to speak to yourselves because I've been listening to your music quite a lot since 2023. So I'm just loving the music, and I think it's something that we definitely need in the charts these days.",,"Квартетът The Now от Южен Уелс с гордост издадоха своя дебютен албум, Too Hot To Handle, чрез True Music и Калъм е при мен сега. Как си, Калъм? Как върви? Всичко е наред. Добре ли си? Да, много съм добре, благодаря. За мен е привилегия да разговарям с теб, защото слушам вашата музика доста от 2023 година насам. Много ми харесва музиката и мисля, че е нещо, което определено трябва да бъде в класациите в наши дни."
